"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025926","2020","20201014","4","5.6","396","","170","1.2",".95","5.6",".3","제주특별자치도 제주시 조천읍 대흘리 126"
"2","5011025926","2020","20201014","4","7.9","58","","142","2.3","1.26","30",".4","제주특별자치도 제주시 조천읍 대흘리 110-1"
"3","5011025926","2020","20201014","4","5","389","","163",".4","1.1","3.2",".3","제주특별자치도 제주시 조천읍 대흘리 127"
"4","5011025926","2020","20201014","4","5.2","602","","164","1.3","1.02","4.6",".3","제주특별자치도 제주시 조천읍 대흘리 127-1"
"5","5011025926","2020","20201014","4","5.6","266","","138","2.4",".99","5.6",".3","제주특별자치도 제주시 조천읍 대흘리 129"
"6","5011025926","2020","20201014","4","5.5","497","","164","1.4","1.01","5.2",".3","제주특별자치도 제주시 조천읍 대흘리 160"
"7","5011025926","2020","20201014","4","6.2","155","","160","3.2",".87","8.6",".4","제주특별자치도 제주시 조천읍 대흘리 164"
"8","5011025926","2020","20201014","4","5.9","354","","112",".9",".8","7.9",".3","제주특별자치도 제주시 조천읍 대흘리 166"
"9","5011025926","2020","20201014","4","5.1","408","","67",".2","1.13",".8",".2","제주특별자치도 제주시 조천읍 대흘리 899"
"10","5011025926","2020","20201014","4","5.4","65","","122",".3",".87","2.3",".3","제주특별자치도 제주시 조천읍 대흘리 905"
"11","5011025926","2020","20201014","4","6.1","548","","154",".9",".76","5.4",".2","제주특별자치도 제주시 조천읍 대흘리 1734"
"12","5011025926","2020","20201014","4","5","546","","113",".5","1.08","2.2",".2","제주특별자치도 제주시 조천읍 대흘리 1832-1"
"13","5011025926","2020","20201014","4","4.7","78","","125",".4","1","2",".3","제주특별자치도 제주시 조천읍 대흘리 1848-13"
"14","5011025926","2020","20201014","4","5.3","31","","158","1.8","1.42","7.3",".5","제주특별자치도 제주시 조천읍 대흘리 1932-3"
"15","5011025926","2020","20201014","4","4.8","465","","113",".4",".82","1.7",".3","제주특별자치도 제주시 조천읍 대흘리 2028"
"16","5011025926","2020","20201014","4","6.2","591","","124","1.6",".79","8.3",".3","제주특별자치도 제주시 조천읍 대흘리 2067-1"
"17","5011025926","2020","20201014","4","4.4","151","","162",".4",".86","2",".5","제주특별자치도 제주시 조천읍 대흘리 2083-1"
"18","5011025926","2020","20201014","4","4.8","549","","146",".8","1.82","9",".4","제주특별자치도 제주시 조천읍 대흘리 2090"
"19","5011025926","2020","20201014","4","5.1","406","","63",".6",".99","1.2",".4","제주특별자치도 제주시 조천읍 대흘리 2169"
"20","5011025926","2020","20201014","4","6.4","502","","93","1.9","1.1","8.9",".3","제주특별자치도 제주시 조천읍 대흘리 2170"
"21","5011025926","2020","20201014","4","5","496","","95",".2",".75","1",".3","제주특별자치도 제주시 조천읍 대흘리 2192"
"22","5011025926","2020","20201014","4","5","77","","45",".4",".99","1.2",".2","제주특별자치도 제주시 조천읍 대흘리 2770"
"23","5011025926","2020","20201014","4","6.6","217","","151","2.7","1.24","24",".7","제주특별자치도 제주시 조천읍 대흘리 421-1"
"24","5011025926","2020","20201014","4","6.3","295","","147","1.2",".85","8.6",".3","제주특별자치도 제주시 조천읍 대흘리 428"
"25","5011025926","2020","20201014","4","5.6","528","","76",".6",".95","4.1",".2","제주특별자치도 제주시 조천읍 대흘리 549"
"26","5011025926","2020","20201014","4","5.5","213","","74",".7",".92","2.5",".2","제주특별자치도 제주시 조천읍 대흘리 850-6"
"27","5011025926","2020","20201014","4","5.8","121","","100","2.1",".98","4.8",".3","제주특별자치도 제주시 조천읍 대흘리 97"
"28","5011025926","2020","20201014","4","5.1","423","","79",".4",".73","1.1",".3","제주특별자치도 제주시 조천읍 대흘리 99"
"29","5011025926","2020","20200409","2","6.4","216","","180","3",".56","16",".5","제주특별자치도 제주시 조천읍 대흘리 2778-4"
"30","5011025926","2020","20200409","2","6.4","197","","140","2.4",".35","13.5",".5","제주특별자치도 제주시 조천읍 대흘리 2778-4"
"31","5011025926","2020","20200409","2","6.6","178","","196","2.7",".69","16.4",".3","제주특별자치도 제주시 조천읍 대흘리 2778-4"
"32","5011025926","2020","20200907","2","8.5","39","","300","10.4","9","4.4","10","제주특별자치도 제주시 조천읍 대흘리 2778-4"
"33","5011025926","2020","20201120","2","5.7","15","","267",".6",".1","2",".4","제주특별자치도 제주시 조천읍 대흘리 1216"
"34","5011025926","2020","20201211","2","5.1","102","","186",".3",".21","1.4",".5","제주특별자치도 제주시 조천읍 대흘리 281-3"
"35","5011025926","2020","20200309","4","6.9","655","","125","6","1.4","13",".5","제주특별자치도 제주시 조천읍 대흘리 525"
"36","5011025926","2020","20200414","4","5.7","53","","116","1.1",".72","2.4",".3","제주특별자치도 제주시 조천읍 대흘리 871"
"37","5011025926","2020","20200423","4","6.4","105","","139","4.9","1.44","11.8",".4","제주특별자치도 제주시 조천읍 대흘리 1930-1"
"38","5011025926","2020","20200423","4","6","19","","108","3",".95","6.4",".2","제주특별자치도 제주시 조천읍 대흘리 1936"
"39","5011025926","2020","20200504","4","5.6","632","","118","2.8",".98","11.7",".6","제주특별자치도 제주시 조천읍 대흘리 2023-3"
"40","5011025926","2020","20200504","4","6.2","306","","281","9.1","1.64","2.2",".8","제주특별자치도 제주시 조천읍 대흘리 1873-7"
"41","5011025926","2020","20200507","4","6","91","","137","7.5","3.62","24.7","10","제주특별자치도 제주시 조천읍 대흘리 2715"
"42","5011025926","2020","20200507","4","4.4","129","","259","5.6",".71","30","1.2","제주특별자치도 제주시 조천읍 대흘리 2712-1"
"43","5011025926","2020","20200528","4","6.2","202","","251","4.1","1.49","19.7",".9","제주특별자치도 제주시 조천읍 대흘리 2712-1"
"44","5011025926","2020","20200528","4","6.2","139","","255","4.2",".6","20.6",".8","제주특별자치도 제주시 조천읍 대흘리 2712-1"
"45","5011025926","2020","20200528","4","6.2","83","","142","9.7","7.2","30",".5","제주특별자치도 제주시 조천읍 대흘리 2715"
"46","5011025926","2020","20200603","4","6.1","255","","262","2.6","3.89","11.5",".8","제주특별자치도 제주시 조천읍 대흘리 2712-1"
"47","5011025926","2020","20200603","4","6.1","163","","255","6.3","2.85","30",".8","제주특별자치도 제주시 조천읍 대흘리 2712-1"
"48","5011025926","2020","20200630","4","6.9","49","","125","7.4","3.1","21.5",".5","제주특별자치도 제주시 조천읍 대흘리 287"
"49","5011025926","2020","20200721","4","5.7","363","","125","1.4",".33","3.6",".17","제주특별자치도 제주시 조천읍 대흘리 364"
"50","5011025926","2020","20200911","4","6.3","44","","253","3.2",".79","14.5",".5","제주특별자치도 제주시 조천읍 대흘리 1143"
"51","5011025926","2020","20200911","4","6.2","20","","242","1.4",".97","7.7",".6","제주특별자치도 제주시 조천읍 대흘리 1147"
"52","5011025926","2020","20200911","4","6.4","30","","91","1.2","1.09","5.9",".3","제주특별자치도 제주시 조천읍 대흘리 1157"
"53","5011025926","2020","20200911","4","7.2","16","","237","4.6",".97","28.1",".6","제주특별자치도 제주시 조천읍 대흘리 1158"
"54","5011025926","2020","20200911","4","7.3","10","","247","2.5",".79","16.6",".6","제주특별자치도 제주시 조천읍 대흘리 1159"
"55","5011025926","2020","20200507","2","5.1","57","","71",".2",".36",".6",".3","제주특별자치도 제주시 조천읍 대흘리 651"
"56","5011025926","2020","20200507","2","4.8","681","","86",".6",".68","2.8",".7","제주특별자치도 제주시 조천읍 대흘리 1977"
"57","5011025926","2020","20200514","2","6.8","184","","","4.1",".63","18.6",".4","제주특별자치도 제주시 조천읍 대흘리 2257-2"
"58","5011025926","2020","20200514","2","6.8","184","","","4.1",".63","18.6",".4","제주특별자치도 제주시 조천읍 대흘리 2257-2"
"59","5011025926","2020","20200205","4","5.5","196","","120","1.2",".81","4",".3","제주특별자치도 제주시 조천읍 대흘리 1932-1"
"60","5011025926","2020","20200205","4","5.3","237","","118","1.2",".88","3.7",".3","제주특별자치도 제주시 조천읍 대흘리 1932-3"
"61","5011025926","2020","20200205","4","6.8","527","","64","11.3","1.57","30","6.5","제주특별자치도 제주시 조천읍 대흘리 520-1"
"62","5011025926","2020","20200309","4","5.6","612","","148","2.4",".9","9.4",".4","제주특별자치도 제주시 조천읍 대흘리 406"
"63","5011025926","2020","20200317","4","5.9","280","","189","2.6",".81","13",".7","제주특별자치도 제주시 조천읍 대흘리 364-1"
"64","5011025926","2020","20200317","4","5.9","280","","189","2.6",".81","13",".7","제주특별자치도 제주시 조천읍 대흘리 364"
"65","5011025926","2020","20200414","4","5.9","644","","66","2.4",".53","5.1",".7","제주특별자치도 제주시 조천읍 대흘리 706"
"66","5011025926","2020","20200507","4","5.4","191","","258","2.9",".49","11.6","1","제주특별자치도 제주시 조천읍 대흘리 2714-4"
"67","5011025926","2020","20200507","4","5","149","","220",".8",".46","5",".9","제주특별자치도 제주시 조천읍 대흘리 2164-1"
"68","5011025926","2020","20200507","4","5.4","389","","153","1.4",".43","6.3",".4","제주특별자치도 제주시 조천읍 대흘리 2714"
"69","5011025926","2020","20200507","4","5.3","270","","201","2.5",".51","9.2",".7","제주특별자치도 제주시 조천읍 대흘리 2714-1"
"70","5011025926","2020","20200507","4","5","145","","213","1.1",".53","5.7",".8","제주특별자치도 제주시 조천읍 대흘리 2162"
"71","5011025926","2020","20200507","4","5.4","274","","267","2.2",".47","10.3",".8","제주특별자치도 제주시 조천읍 대흘리 2778-17"
"72","5011025926","2020","20200507","4","5.4","319","","174","4.7","2.11","11.7",".5","제주특별자치도 제주시 조천읍 대흘리 2163"
"73","5011025926","2020","20200507","4","5.1","148","","212",".9",".46","5.3",".6","제주특별자치도 제주시 조천읍 대흘리 2712-1"
"74","5011025926","2020","20200515","4","4.8","849","","112",".6",".31","3.1",".4","제주특별자치도 제주시 조천읍 대흘리 2645"
"75","5011025926","2020","20200622","4","5.6","189","","155","1.1",".93","9.2",".5","제주특별자치도 제주시 조천읍 대흘리 848"
"76","5011025926","2020","20200622","4","6.1","137","","210","3.3","1.17","24.5",".5","제주특별자치도 제주시 조천읍 대흘리 852-1"
"77","5011025926","2020","20200622","4","5.6","204","","169","1.8","1.14","9.9",".7","제주특별자치도 제주시 조천읍 대흘리 950"
"78","5011025926","2020","20200624","4","7.3","370","","95","2.9","2.12","25.3",".6","제주특별자치도 제주시 조천읍 대흘리 2016"
"79","5011025926","2020","20200624","4","7.3","370","","95","2.9","2.12","25.3",".6","제주특별자치도 제주시 조천읍 대흘리 2017"
"80","5011025926","2020","20200624","4","7.3","370","","95","2.9","2.12","25.3",".6","제주특별자치도 제주시 조천읍 대흘리 2018"
"81","5011025926","2020","20200624","4","7.3","370","","95","2.9","2.12","25.3",".6","제주특별자치도 제주시 조천읍 대흘리 2069"
"82","5011025926","2020","20200724","4","5.2","987","","191","3.1","1.28","12.5","1.2","제주특별자치도 제주시 조천읍 대흘리 1879-2"
"83","5011025926","2020","20200804","4","6","354","","241","2",".64","6.2",".3","제주특별자치도 제주시 조천읍 대흘리 850-6"
"84","5011025926","2020","20200304","4","6.1","411","","85","2.5",".82","8.1",".5","제주특별자치도 제주시 조천읍 대흘리 2748"
"85","5011025926","2020","20200304","4","6.6","403","","94","3.4",".72","11.5",".6","제주특별자치도 제주시 조천읍 대흘리 2039-1"
"86","5011025926","2020","20200724","4","6.9","286","","256","6.4","1.06","20.2",".6","제주특별자치도 제주시 조천읍 대흘리 582"
"87","5011025926","2020","20200804","4","5","98","","300","2.6","1.12","5.9","1.9","제주특별자치도 제주시 조천읍 대흘리 2778-4"
"88","5011025926","2020","20200804","4","5.3","238","","130","5.3","1.38","9.9","2.9","제주특별자치도 제주시 조천읍 대흘리 2778-4"
"89","5011025926","2020","20200804","4","5.5","753","","188","1.7","1.05","7.1",".8","제주특별자치도 제주시 조천읍 대흘리 866"
